ProductID;Date;Zip;Units;Revenue;Country;CountryZip;Province;Product;Category;Segment;Manufacturer
757;36175;R3G;1;83.9475;Canada;CanadaR3G;Manitoba;Natura RP-45;Rural;Productiviti;Natura
1956;36206;R3G;2;307.545;Canada;CanadaR3G;Manitoba;Currus RP-31;Rural;Productivity;Currus
606;36206;R3G;1;314.7375;Canada;CanadaR3G;Manitoba;Maximus UC-71;Urban;Convenience;VanArsdel
754;36206;R3G;1;244.0725;Canada;CanadaR3G;Manitoba;Natura RP-42;Rural;Productivity;Natura
2235;36206;R3G;1;65.5725;Canada;CanadaR3G;Manitoba;Aliqui RP-32;Rural;Productivity;Aliqui
658;36234;R3G;1;902.7375;Canada;CanadaR3G;Manitoba;Maximus UC-23;Urban;Convenience;VanArsdel
758;36175;M5P;1;83.9475;Canada;CanadaM5P;Ontario;Natura RP-46;Rural;Productivity;Natura
1110;36175;M5P;1;209.9475;Canada;CanadaM5P;Ontario;Pirum RP-56;Rural;Productivity;Pirum
663;36175;M5P;1;765.45;Canada;CanadaM5P;Ontario;Maximus UC-28;Urban;Convenience;VanArsdel
727;36175;M5P;1;62.9475;Canada;CanadaM5P;Ontario;Natura RP-15;Rural;Productivity;Natura
2277;36234;M5P;1;251.9475;Canada;CanadaM5P;Ontario;Aliqui RS-10;Rural;Select;Aliqui
1109;36175;M5P;1;209.9475;Canada;CanadaM5P;Ontario;Pirum RP-55;Rural;Productivity;Pirum
1120;36175;R3V;1;173.1975;Canada;CanadaR3V;Manitoba;Pirum RS-08;Rural;Select;Pirum
786;37407;R3V;1;68.1975;Canada;CanadaR3V;Manitoba;Natura RP-74;Rural;Productivity;Natura
2380;37407;R3V;1;293.9475;Canada;CanadaR3V;Manitoba;Aliqui UC-28;Urban;Convenience;Aliqui
1990;36175;R3V;1;257.1975;Canada;CanadaR3V;Manitoba;Currus RS-09;Rural;Select;Currus
1066;36206;R3V;1;296.5725;Canada;CanadaR3V;Manitoba;Pirum RP-12;Rural;Productivity;Pirum
1426;36175;M5R;1;286.02;Canada;CanadaM5R;Ontario;Quibus RP-18;Rural;Productivity;Quibus
2064;36206;M5R;1;488.1975;Canada;CanadaM5R;Ontario;Currus UE-24;Urban;Extreme;Currus
796;36234;M5R;1;275.5725;Canada;CanadaM5R;Ontario;Natura RP-84;Rural;Productiviti;Natura
1894;36175;M6G;1;682.2375;Canada;CanadaM6G;Ontario;Leo UC-13;Urban;Convenience;Leo
2234;36175;M6G;1;65.5725;Canada;CanadaM6G;Ontario;Aliqui RP-31;Rural;Productivity;Aliqui
599;36206;M6G;1;753.6375;Canada;CanadaM6G;Ontario;Maximus UC-64;Urban;Convenience;VanArsdel
475;36175;M6G;1;970.2;Canada;CanadaM6G;Ontario;Maximus UM-80;Urban;Moderation;VanArsdel
550;36234;M6G;1;403.9875;Canada;CanadaM6G;Ontario;Maximus UC-15;Urban;Convenience;VanArsdel
1974;36175;R3S;1;52.4475;Canada;CanadaR3S;Manitoba;Currus RP-49;Rural;Productivity;Currus
2234;36175;R3N;1;65.5725;Canada;CanadaR3N;Manitoba;Aliqui RP-31;Rural;Productivity;Aliqui
2254;36175;R3N;1;57.6975;Canada;CanadaR3N;Manitoba;Aliqui RP-51;Rural;Productiviti;Aliqui
990;36206;R3N;1;472.4475;Canada;CanadaR3N;Manitoba;Natura UC-53;Urban;Convenience;Natura
2234;36175;L5P;2;131.145;Canada;CanadaL5P;Ontario;Aliqui RP-31;Rural;Productivity;Aliqui
1517;36175;L5P;1;141.645;Canada;CanadaL5P;Ontario;Quibus RP-09;Rural;Productivity;Quibus
658;37407;L5P;1;907.9875;Canada;CanadaL5P;Ontario;Maximus UC-23;Urban;Convenience;VanArsdel
769;36206;L5P;1;257.1975;Canada;CanadaL5P;Ontario;Natura RP-57;Rural;Productivity;Natura
491;36175;L5P;1;815.325;Canada;CanadaL5P;Ontario;Maximus UM-96;Urban;Moderation;VanArsdel
979;37407;L5P;1;393.6975;Canada;CanadaL5P;Ontario;Natura UC-42;Urban;Convenience;Natura
770;36206;L5P;1;257.1975;Canada;CanadaL5P;Ontario;Natura RP-58;Rural;Productivity;Natura
901;36206;L5P;1;409.4475;Canada;CanadaL5P;Ontario;Natura UE-10;Urban;Extreme;Natura
491;36234;L5P;1;815.325;Canada;CanadaL5P;Ontario;Maximus UM-96;Urban;Moderation;VanArsdel
2255;36175;M6H;2;115.395;Canada;CanadaM6H;Ontario;Aliqui RP-52;Rural;Productiviti;Aliqui
990;37720;M6H;1;440.9475;Canada;CanadaM6H;Ontario;Natura UC-53;Urban;Convenience;Natura
989;36206;M6H;1;467.1975;Canada;CanadaM6H;Ontario;Natura UC-52;Urban;Convenience;Natura
1975;36206;M6H;1;52.4475;Canada;CanadaM6H;Ontario;Currus RP-50;Rural;Productivity;Currus
2388;36234;M6H;1;309.6975;Canada;CanadaM6H;Ontario;Aliqui UC-36;Urban;Convenience;Aliqui
2254;36175;M6H;2;115.395;Canada;CanadaM6H;Ontario;Aliqui RP-51;Rural;Productivity;Aliqui
93;37413;M6H;1;1039.5;Canada;CanadaM6H;Ontario;Abbas UM-20;Urban;Moderation;Abbas
609;36234;M6H;1;778.8375;Canada;CanadaM6H;Ontario;Maximus UC-74;Urban;Convenience;VanArsdel
604;36175;L5R;1;461.7375;Canada;CanadaL5R;Ontario;Maximus UC-69;Urban;Convenience;VanArsdel
443;37411;L5R;1;828.975;Canada;CanadaL5R;Ontario;Maximus UM-48;Urban;Moderation;VanArsdel
2012;36234;L5R;1;377.9475;Canada;CanadaL5R;Ontario;Currus UR-15;Urban;Regular;Currus
992;36175;L5R;1;288.6975;Canada;CanadaL5R;Ontario;Natura UC-55;Urban;Convenience;Natura
2353;37407;L5R;1;414.6975;Canada;CanadaL5R;Ontario;Aliqui UC-01;Urban;Convenience;Aliqui
609;36175;R3X;1;778.8375;Canada;CanadaR3X;Manitoba;Maximus UC-74;Urban;Convenience;VanArsdel
767;36175;R3X;1;104.9475;Canada;CanadaR3X;Manitoba;Natura RP-55;Rural;Productivity;Natura
2331;36206;R3X;1;535.4475;Canada;CanadaR3X;Manitoba;Aliqui UE-05;Urban;Extreme;Aliqui
2055;37407;R3X;1;569.5725;Canada;CanadaR3X;Manitoba;Currus UE-15;Urban;Extreme;Currus
2331;37407;R3X;1;540.6975;Canada;CanadaR3X;Manitoba;Aliqui UE-05;Urban;Extreme;Aliqui
768;36175;R3X;1;104.9475;Canada;CanadaR3X;Manitoba;Natura RP-56;Rural;Productivity;Natura
823;36206;R3X;1;619.4475;Canada;CanadaR3X;Manitoba;Natura UM-07;Urban;Moderation;Natura
631;36175;M7Y;1;346.2375;Canada;CanadaM7Y;Ontario;Maximus UC-96;Urban;Convenience;VanArsdel
1014;36175;M7Y;1;86.5725;Canada;CanadaM7Y;Ontario;Natura YY-15;Youth;Youth;Natura
195;36175;M7Y;1;750.225;Canada;CanadaM7Y;Ontario;Abbas UC-07;Urban;Convenience;Abbas
726;36206;M7Y;1;115.4475;Canada;CanadaM7Y;Ontario;Natura RP-14;Rural;Productivity;Natura
550;36206;M7Y;1;403.9875;Canada;CanadaM7Y;Ontario;Maximus UC-15;Urban;Convenience;VanArsdel
936;36234;M7Y;1;498.6975;Canada;CanadaM7Y;Ontario;Natura UE-45;Urban;Extreme;Natura
901;36206;M7Y;1;409.4475;Canada;CanadaM7Y;Ontario;Natura UE-10;Urban;Extreme;Natura
2016;36206;M7Y;1;299.1975;Canada;CanadaM7Y;Ontario;Currus UR-19;Urban;Regular;Currus
740;36175;M4V;1;170.5725;Canada;CanadaM4V;Ontario;Natura RP-28;Rural;Productivity;Natura
1229;36175;M4V;1;236.1975;Canada;CanadaM4V;Ontario;Pirum UC-31;Urban;Convenience;Pirum
838;36175;M4V;1;944.9475;Canada;CanadaM4V;Ontario;Natura UM-22;Urban;Moderation;Natura
2255;36206;M4V;1;57.6975;Canada;CanadaM4V;Ontario;Aliqui RP-52;Rural;Productivity;Aliqui
753;36175;R3H;1;244.0725;Canada;CanadaR3H;Manitoba;Natura RP-41;Rural;Productivity;Natura
762;37721;R3H;1;173.1975;Canada;CanadaR3H;Manitoba;Natura RP-50;Rural;Productivity;Natura
727;36175;R3H;1;68.1975;Canada;CanadaR3H;Manitoba;Natura RP-15;Rural;Productiviti;Natura
725;36206;R3H;1;115.4475;Canada;CanadaR3H;Manitoba;Natura RP-13;Rural;Productivity;Natura
1329;36206;R3H;1;92.82;Canada;CanadaR3H;Manitoba;Quibus RP-21;Rural;Productivity;Quibus
1960;36234;R3H;1;97.0725;Canada;CanadaR3H;Manitoba;Currus RP-35;Rural;Productivity;Currus
1066;36234;R3H;1;296.5725;Canada;CanadaR3H;Manitoba;Pirum RP-12;Rural;Productivity;Pirum
1975;36234;R3H;1;52.4475;Canada;CanadaR3H;Manitoba;Currus RP-50;Rural;Productivity;Currus
604;36175;R3H;1;461.7375;Canada;CanadaR3H;Manitoba;Maximus UC-69;Urban;Convenience;VanArsdel
1086;37412;R3H;1;84;Canada;CanadaR3H;Manitoba;Pirum RP-32;Rural;Productivity;Pirum
467;37412;R3H;1;900.6375;Canada;CanadaR3H;Manitoba;Maximus UM-72;Urban;Moderation;VanArsdel
1085;37412;R3H;1;84;Canada;CanadaR3H;Manitoba;Pirum RP-31;Rural;Productivity;Pirum
2407;36206;R3H;1;73.4475;Canada;CanadaR3H;Manitoba;Aliqui YY-16;Youth;Youth;Aliqui
726;36206;R3H;1;115.4475;Canada;CanadaR3H;Manitoba;Natura RP-14;Rural;Productivity;Natura
1330;36206;R3H;1;92.82;Canada;CanadaR3H;Manitoba;Quibus RP-22;Rural;Productivity;Quibus
599;36234;R3H;1;753.6375;Canada;CanadaR3H;Manitoba;Maximus UC-64;Urban;Convenience;VanArsdel
758;36175;K1N;1;83.9475;Canada;CanadaK1N;Ontario;Natura RP-46;Rural;Productivity;Natura
757;36175;K1N;1;83.9475;Canada;CanadaK1N;Ontario;Natura RP-45;Rural;Productivity;Natura
2255;36206;K1N;1;57.6975;Canada;CanadaK1N;Ontario;Aliqui RP-52;Rural;Productivity;Aliqui
599;36175;K1N;1;753.6375;Canada;CanadaK1N;Ontario;Maximus UC-64;Urban;Convenience;VanArsdel
2254;36206;K1N;1;57.6975;Canada;CanadaK1N;Ontario;Aliqui RP-51;Rural;Productivity;Aliqui
767;36175;R3W;1;104.9475;Canada;CanadaR3W;Manitoba;Natura RP-55;Rural;Productivity;Natura
768;36175;R3W;1;104.9475;Canada;CanadaR3W;Manitoba;Natura RP-56;Rural;Productivity;Natura
726;37407;R3W;1;120.6975;Canada;CanadaR3W;Manitoba;Natura RP-14;Rural;Productivity;Natura
914;36206;R3W;1;577.4475;Canada;CanadaR3W;Manitoba;Natura UE-23;Urban;Extreme;Natura
1111;36175;M5X;1;116.4975;Canada;CanadaM5X;Ontario;Pirum RP-57;Rural;Productivity;Pirum
2388;36234;M5X;1;309.6975;Canada;CanadaM5X;Ontario;Aliqui UC-36;Urban;Convenience;Aliqui
1926;37407;M5X;1;99.6975;Canada;CanadaM5X;Ontario;Currus RP-01;Rural;Productivity;Currus
2234;36175;M5X;1;65.5725;Canada;CanadaM5X;Ontario;Aliqui RP-31;Rural;Productivity;Aliqui
681;36175;M5X;1;629.7375;Canada;CanadaM5X;Ontario;Maximus UC-46;Urban;Convenience;VanArsdel
1894;36175;L5N;1;682.2375;Canada;CanadaL5N;Ontario;Leo UC-13;Urban;Convenience;Leo
910;37407;L5N;1;430.4475;Canada;CanadaL5N;Ontario;Natura UE-19;Urban;Extreme;Natura
2234;36175;L5N;1;65.5725;Canada;CanadaL5N;Ontario;Aliqui RP-31;Rural;Productivity;Aliqui
769;36206;L5N;1;257.1975;Canada;CanadaL5N;Ontario;Natura RP-57;Rural;Productivity;Natura
1225;36206;L5N;1;236.1975;Canada;CanadaL5N;Ontario;Pirum UC-27;Urban;Convenience;Pirum
2050;36234;L5N;1;498.6975;Canada;CanadaL5N;Ontario;Currus UE-10;Urban;Extreme;Currus
2056;36234;L5N;1;325.4475;Canada;CanadaL5N;Ontario;Currus UE-16;Urban;Extreme;Currus
2277;36234;L5N;2;503.895;Canada;CanadaL5N;Ontario;Aliqui RS-10;Rural;Select;Aliqui
976;37407;L5N;1;314.9475;Canada;CanadaL5N;Ontario;Natura UC-39;Urban;Convenience;Natura
726;37407;L5N;1;120.6975;Canada;CanadaL5N;Ontario;Natura RP-14;Rural;Productiviti;Natura
964;37407;L5N;1;320.1975;Canada;CanadaL5N;Ontario;Natura UC-27;Urban;Convenience;Natura
2359;37413;L5N;1;430.4475;Canada;CanadaL5N;Ontario;Aliqui UC-07;Urban;Convenience;Aliqui
1188;37414;L5N;1;461.9475;Canada;CanadaL5N;Ontario;Pirum UE-24;Urban;Extreme;Pirum
767;36206;L5N;2;209.895;Canada;CanadaL5N;Ontario;Natura RP-55;Rural;Productivity;Natura
1185;36206;L5N;1;419.9475;Canada;CanadaL5N;Ontario;Pirum UE-21;Urban;Extreme;Pirum
2373;36234;L5N;1;551.1975;Canada;CanadaL5N;Ontario;Aliqui UC-21;Urban;Convenience;Aliqui
1949;36175;K1R;1;296.5725;Canada;CanadaK1R;Ontario;Currus RP-24;Rural;Productivity;Currus
1948;36175;K1R;1;296.5725;Canada;CanadaK1R;Ontario;Currus RP-23;Rural;Productivity;Currus
491;36234;K1R;1;815.325;Canada;CanadaK1R;Ontario;Maximus UM-96;Urban;Moderation;VanArsdel
1450;36175;K1R;1;118.02;Canada;CanadaK1R;Ontario;Quibus RP-42;Rural;Productivity;Quibus
964;37407;K1R;1;330.6975;Canada;CanadaK1R;Ontario;Natura UC-27;Urban;Convenience;Natura
491;36175;K1R;1;815.325;Canada;CanadaK1R;Ontario;Maximus UM-96;Urban;Moderation;VanArsdel
2235;36175;L4Y;1;65.5725;Canada;CanadaL4Y;Ontario;Aliqui RP-32;Rural;Productivity;Aliqui
606;36175;M5L;1;314.7375;Canada;CanadaM5L;Ontario;Maximus UC-71;Urban;Convenience;VanArsdel
1927;37407;M5L;1;99.6975;Canada;CanadaM5L;Ontario;Currus RP-02;Rural;Productivity;Currus
2005;37410;M5L;1;307.0725;Canada;CanadaM5L;Ontario;Currus UR-08;Urban;Regular;Currus
1974;37407;M5L;1;57.6975;Canada;CanadaM5L;Ontario;Currus RP-49;Rural;Productivity;Currus
1926;37407;M5L;1;99.6975;Canada;CanadaM5L;Ontario;Currus RP-01;Rural;Productivity;Currus
396;36175;M5L;2;1714.125;Canada;CanadaM5L;Ontario;Maximus UM-01;Urban;Moderation;VanArsdel
574;37407;M4E;1;869.1375;Canada;CanadaM4E;Ontario;Maximus UC-39;Urban;Convenience;VanArsdel
609;37407;M4E;1;829.2375;Canada;CanadaM4E;Ontario;Maximus UC-74;Urban;Convenience;VanArsdel
2056;37412;M4E;1;330.6975;Canada;CanadaM4E;Ontario;Currus UE-16;Urban;Extreme;Currus
604;36234;M4E;2;923.475;Canada;CanadaM4E;Ontario;Maximus UC-69;Urban;Convenience;VanArsdel
990;36234;M4E;1;503.9475;Canada;CanadaM4E;Ontario;Natura UC-53;Urban;Convenience;Natura
2056;36206;M4E;1;325.4475;Canada;CanadaM4E;Ontario;Currus UE-16;Urban;Extreme;Currus
901;36234;M4E;1;409.4475;Canada;CanadaM4E;Ontario;Natura UE-10;Urban;Extreme;Natura
2374;37407;M4N;1;661.4475;Canada;CanadaM4N;Ontario;Aliqui UC-22;Urban;Convenience;Aliqui
2054;37407;M4N;2;1091.895;Canada;CanadaM4N;Ontario;Currus UE-14;Urban;Extreme;Currus
1173;36175;L5G;1;524.9475;Canada;CanadaL5G;Ontario;Pirum UE-09;Urban;Extreme;Pirum
962;36206;L5G;1;524.9475;Canada;CanadaL5G;Ontario;Natura UC-25;Urban;Convenience;Natura
609;36206;L5G;1;778.8375;Canada;CanadaL5G;Ontario;Maximus UC-74;Urban;Convenience;VanArsdel
1203;37412;R2Y;1;320.1975;Canada;CanadaR2Y;Manitoba;Pirum UC-05;Urban;Convenience;Pirum
2277;36206;M6S;1;251.9475;Canada;CanadaM6S;Ontario;Aliqui RS-10;Rural;Select;Aliqui
1449;36175;M6S;1;118.02;Canada;CanadaM6S;Ontario;Quibus RP-41;Rural;Productivity;Quibus
2279;36206;R3E;1;165.3225;Canada;CanadaR3E;Manitoba;Aliqui RS-12;Rural;Select;Aliqui
1330;36206;R3E;1;92.82;Canada;CanadaR3E;Manitoba;Quibus RP-22;Rural;Productivity;Quibus
681;36234;R3E;1;629.7375;Canada;CanadaR3E;Manitoba;Maximus UC-46;Urban;Convenience;VanArsdel
768;36234;R3E;1;104.9475;Canada;CanadaR3E;Manitoba;Natura RP-56;Rural;Productivity;Natura
753;36206;R3E;1;244.0725;Canada;CanadaR3E;Manitoba;Natura RP-41;Rural;Productivity;Natura
475;36234;R3E;1;970.2;Canada;CanadaR3E;Manitoba;Maximus UM-80;Urban;Moderation;VanArsdel
599;36234;R3E;1;753.6375;Canada;CanadaR3E;Manitoba;Maximus UC-64;Urban;Convenience;VanArsdel
1003;36206;K1A;1;86.5725;Canada;CanadaK1A;Ontario;Natura YY-04;Youth;Youth;Natura
400;36206;K1A;1;683.8125;Canada;CanadaK1A;Ontario;Maximus UM-05;Urban;Moderation;VanArsdel
2045;36206;K1P;1;409.4475;Canada;CanadaK1P;Ontario;Currus UE-05;Urban;Extreme;Currus
2255;36234;K1P;1;57.6975;Canada;CanadaK1P;Ontario;Aliqui RP-52;Rural;Productiviti;Aliqui
2284;36206;K1Y;1;293.9475;Canada;CanadaK1Y;Ontario;Aliqui RS-17;Rural;Select;Aliqui
491;36175;K1Y;1;815.325;Canada;CanadaK1Y;Ontario;Maximus UM-96;Urban;Moderation;VanArsdel
2277;36206;K1Y;1;251.9475;Canada;CanadaK1Y;Ontario;Aliqui RS-10;Rural;Select;Aliqui
2388;36206;K1K;1;309.6975;Canada;CanadaK1K;Ontario;Aliqui UC-36;Urban;Convenience;Aliqui
559;36206;K1K;1;585.6375;Canada;CanadaK1K;Ontario;Maximus UC-24;Urban;Convenience;VanArsdel
2407;36206;R3B;1;73.4475;Canada;CanadaR3B;Manitoba;Aliqui YY-16;Youth;Youth;Aliqui
1975;36234;R3B;1;52.4475;Canada;CanadaR3B;Manitoba;Currus RP-50;Rural;Productivity;Currus
683;36175;R3B;1;788.025;Canada;CanadaR3B;Manitoba;Maximus UC-48;Urban;Convenience;VanArsdel
990;36206;M4R;1;482.9475;Canada;CanadaM4R;Ontario;Natura UC-53;Urban;Convenience;Natura
910;37407;M4R;1;430.4475;Canada;CanadaM4R;Ontario;Natura UE-19;Urban;Extreme;Natura
580;36206;M4M;1;734.7375;Canada;CanadaM4M;Ontario;Maximus UC-45;Urban;Convenience;VanArsdel
1957;36234;R3M;1;153.7725;Canada;CanadaR3M;Manitoba;Currus RP-32;Rural;Productivity;Currus
981;36234;R3M;1;167.9475;Canada;CanadaR3M;Manitoba;Natura UC-44;Urban;Convenience;Natura
992;37407;R3M;1;278.1975;Canada;CanadaR3M;Manitoba;Natura UC-55;Urban;Convenience;Natura
797;36175;R3M;1;301.8225;Canada;CanadaR3M;Manitoba;Natura RS-01;Rural;Select;Natura
488;36234;M4S;1;970.2;Canada;CanadaM4S;Ontario;Maximus UM-93;Urban;Moderation;VanArsdel
964;37407;M4S;1;330.6975;Canada;CanadaM4S;Ontario;Natura UC-27;Urban;Convenience;Natura
989;36234;L4V;1;451.4475;Canada;CanadaL4V;Ontario;Natura UC-52;Urban;Convenience;Natura
1166;36234;L5T;1;535.4475;Canada;CanadaL5T;Ontario;Pirum UE-02;Urban;Extreme;Pirum
599;36175;L5T;1;753.6375;Canada;CanadaL5T;Ontario;Maximus UC-64;Urban;Convenience;VanArsdel
580;36234;L5T;1;734.7375;Canada;CanadaL5T;Ontario;Maximus UC-45;Urban;Convenience;VanArsdel
1173;36206;R2V;1;524.9475;Canada;CanadaR2V;Manitoba;Pirum UE-09;Urban;Extreme;Pirum
2388;37412;R2W;1;309.6975;Canada;CanadaR2W;Manitoba;Aliqui UC-36;Urban;Convenience;Aliqui
901;36234;R2W;1;409.4475;Canada;CanadaR2W;Manitoba;Natura UE-10;Urban;Extreme;Natura
2047;36206;R3C;1;377.9475;Canada;CanadaR3C;Manitoba;Currus UE-07;Urban;Extreme;Currus
768;36175;M5A;1;104.9475;Canada;CanadaM5A;Ontario;Natura RP-56;Rural;Productivity;Natura
1046;36175;L5J;1;99.6975;Canada;CanadaL5J;Ontario;Pirum MA-04;Mix;All Season;Pirum
1110;36175;R3R;1;209.9475;Canada;CanadaR3R;Manitoba;Pirum RP-56;Rural;Productivity;Pirum
964;37407;R3L;1;335.9475;Canada;CanadaR3L;Manitoba;Natura UC-27;Urban;Convenience;Natura
1003;36206;K1H;3;259.7175;Canada;CanadaK1H;Ontario;Natura YY-04;Youth;Youth;Natura
1065;36206;K2P;1;296.5725;Canada;CanadaK2P;Ontario;Pirum RP-11;Rural;Productivity;Pirum
400;37412;L5H;1;734.7375;Canada;CanadaL5H;Ontario;Maximus UM-05;Urban;Moderation;VanArsdel
1425;37413;M4P;1;304.395;Canada;CanadaM4P;Ontario;Quibus RP-17;Rural;Productivity;Quibus
1426;37413;M4P;1;304.395;Canada;CanadaM4P;Ontario;Quibus RP-18;Rural;Productivity;Quibus
645;36234;H1G;1;746.55;Canada;CanadaH1G;Quebec;Maximus UC-10;Urban;Convenience;VanArsdel
739;36234;H2Z;1;170.5725;Canada;CanadaH2Z;Quebec;Natura RP-27;Rural;Productivity;Natura
921;36234;K1H;1;524.9475;Canada;CanadaK1H;Ontario;Natura UE-30;Urban;Extreme;Natura
921;36234;M7Y;1;524.9475;Canada;CanadaM7Y;Ontario;Natura UE-30;Urban;Extreme;Natura
922;36234;K1A;1;472.4475;Canada;CanadaK1A;Ontario;Natura UE-31;Urban;Extreme;Natura
964;36234;R3V;1;356.9475;Canada;CanadaR3V;Manitoba;Natura UC-27;Urban;Convenience;Natura
992;36234;M4Y;1;288.6975;Canada;CanadaM4Y;Ontario;Natura UC-55;Urban;Convenience;Natura
1014;36234;M5X;1;86.5725;Canada;CanadaM5X;Ontario;Natura YY-15;Youth;Youth;Natura
1045;36234;L5N;1;207.3225;Canada;CanadaL5N;Ontario;Pirum MA-03;Mix;All Season;Pirum
1053;36234;R3N;1;251.9475;Canada;CanadaR3N;Manitoba;Pirum MA-11;Mix;All Season;Pirum
1109;36234;R3V;1;209.9475;Canada;CanadaR3V;Manitoba;Pirum RP-55;Rural;Productivity;Pirum
1112;36234;R3H;1;116.4975;Canada;CanadaR3H;Manitoba;Pirum RP-58;Rural;Productivity;Pirum
1188;36234;M7Y;1;472.4475;Canada;CanadaM7Y;Ontario;Pirum UE-24;Urban;Extreme;Pirum
1948;36234;M4E;1;296.5725;Canada;CanadaM4E;Ontario;Currus RP-23;Rural;Productivity;Currus
645;36175;T6T;2;1493.1;Canada;CanadaT6T;Alberta;Maximus UC-10;Urban;Convenience;VanArsdel
725;36175;V6Z;2;230.895;Canada;CanadaV6Z;British Columbia;Natura RP-13;Rural;Productivity;Natura
727;36175;T3C;1;62.9475;Canada;CanadaT3C;Alberta;Natura RP-15;Rural;Productivity;Natura
757;36175;V6M;1;83.9475;Canada;CanadaV6M;British Columbia;Natura RP-45;Rural;Productivity;Natura
757;36175;V6Z;1;83.9475;Canada;CanadaV6Z;British Columbia;Natura RP-45;Rural;Productivity;Natura
758;36175;V7Y;1;83.9475;Canada;CanadaV7Y;British Columbia;Natura RP-46;Rural;Productivity;Natura
767;36175;R2G;1;104.9475;Canada;CanadaR2G;Manitoba;Natura RP-55;Rural;Productiviti;Natura
768;36175;T5V;1;104.9475;Canada;CanadaT5V;Alberta;Natura RP-56;Rural;Productivity;Natura
768;36175;T6V;1;104.9475;Canada;CanadaT6V;Alberta;Natura RP-56;Rural;Productivity;Natura
838;36175;T6E;1;929.1975;Canada;CanadaT6E;Alberta;Natura UM-22;Urban;Moderation;Natura
1112;36175;V5W;1;116.4975;Canada;CanadaV5W;British Columbia;Pirum RP-58;Rural;Productivity;Pirum
